Force produced by a submaximally-activated cat soleus muscle in vivo while
applying length changes of maximum amplitude 8.0 mm and a random stimulation
signal with a mean frequency of 20 Hz. Experimental data was provided by T.G.
Sandercock [1]. Please refer to Millard et al. [2] for details.

References:
    1. Perreault, E.J., Heckman, C.J., and Sandercock, T.G., 2003. "Hill
       muscle model errors during movement are greatest within the
       physiologically relevant range of motor unit firing rates". Journal
       of Biomechanics, 36(2), pp. 211--218.
       http://dx.doi.org/10.1016/S0021-9290(02)00332-9.
    2. Millard, M., Uchida, T., Seth, A., and Delp, S.L., 2013. "Flexing
       computational muscle: Modeling and simulation of musculotendon
       dynamics". ASME Journal of Biomechanical Engineering, 135(2),
       p. 021013 (11 pages). http://dx.doi.org/10.1115/1.4023390.

endheader
time_s	force_N
0.000000000000000	0.000000000000000
0.001000000000000	0.000000000000000
0.002000000000000	0.000000000000000
0.003000000000000	0.032300000000000
0.004000000000000	0.000000000000000
0.005000000000000	0.022729000000000
0.006000000000000	0.008374000000000
0.007000000000000	0.021533000000000
0.008000000000000	0.000000000000000
0.009000000000000	0.000000000000000
0.010000000000000	0.000000000000000
0.011000000000000	0.001196000000000
0.012000000000000	0.001196000000000
0.013000000000000	0.000000000000000
0.014000000000000	0.007178000000000
0.015000000000000	0.023926000000000
0.016000000000000	0.000000000000000
0.017000000000000	0.003589000000000
0.018000000000000	0.007178000000000
0.019000000000000	0.005981000000000
0.020000000000000	0.004785000000000
0.021000000000000	0.029907000000000
0.022000000000000	0.011963000000000
0.023000000000000	0.004785000000000
0.024000000000000	0.028711000000000
0.025000000000000	0.011963000000000
0.026000000000000	0.002393000000000
0.027000000000000	0.000000000000000
0.028000000000000	0.004785000000000
0.029000000000000	0.020337000000000
0.030000000000000	0.000000000000000
0.031000000000000	0.000000000000000
0.032000000000000	0.021533000000000
0.033000000000000	0.008374000000000
0.034000000000000	0.004785000000000
0.035000000000000	0.000000000000000
0.036000000000000	0.000000000000000
0.037000000000000	0.031104000000000
0.038000000000000	0.044263000000000
0.039000000000000	0.000000000000000
0.040000000000000	0.020337000000000
0.041000000000000	0.010767000000000
0.042000000000000	0.000000000000000
0.043000000000000	0.000000000000000
0.044000000000000	0.014355000000000
0.045000000000000	0.000000000000000
0.046000000000000	0.000000000000000
0.047000000000000	0.000000000000000
0.048000000000000	0.000000000000000
0.049000000000000	0.007178000000000
0.050000000000000	0.021533000000000
0.051000000000000	0.000000000000000
0.052000000000000	0.000000000000000
0.053000000000000	0.008374000000000
0.054000000000000	0.035889000000000
0.055000000000000	0.009570000000000
0.056000000000000	0.021533000000000
0.057000000000000	0.016748000000000
0.058000000000000	0.031104000000000
0.059000000000000	0.005981000000000
0.060000000000000	0.007178000000000
0.061000000000000	0.008374000000000
0.062000000000000	0.000000000000000
0.063000000000000	0.000000000000000
0.064000000000000	0.007178000000000
0.065000000000000	0.015552000000000
0.066000000000000	0.000000000000000
0.067000000000000	0.000000000000000
0.068000000000000	0.013159000000000
0.069000000000000	0.000000000000000
0.070000000000000	0.000000000000000
0.071000000000000	0.009570000000000
0.072000000000000	0.021533000000000
0.073000000000000	0.063403000000000
0.074000000000000	0.013159000000000
0.075000000000000	0.000000000000000
0.076000000000000	0.007178000000000
0.077000000000000	0.002393000000000
0.078000000000000	0.027515000000000
0.079000000000000	0.005981000000000
0.080000000000000	0.000000000000000
0.081000000000000	0.000000000000000
0.082000000000000	0.000000000000000
0.083000000000000	0.000000000000000
0.084000000000000	0.021533000000000
0.085000000000000	0.026318000000000
0.086000000000000	0.031104000000000
0.087000000000000	0.005981000000000
0.088000000000000	0.007178000000000
0.089000000000000	0.016748000000000
0.090000000000000	0.026318000000000
0.091000000000000	0.000000000000000
0.092000000000000	0.025122000000000
0.093000000000000	0.000000000000000
0.094000000000000	0.000000000000000
0.095000000000000	0.000000000000000
0.096000000000000	0.000000000000000
0.097000000000000	0.000000000000000
0.098000000000000	0.000000000000000
